"omsi1indian","omsi1western","gender","age","participant","Expertise","Interval","tensionrating","Group","musicianship","musicianshipW","musicianshipI","ExpertiseN"
"Professional musician","Music-loving nonmusician","Male",32,"H6",6,"P8",3,"Hindustani","Musician","Non-Musician","Musician",85.7142857142857
"Semi-professional musician","Semi-professional musician","Female",24,"H4",4,"P8",6,"Hindustani","Musician","Musician","Musician",57.1428571428571
"Semi-professional musician","Music-loving nonmusician","Male",64,"H2",7,"P8",2,"Hindustani","Musician","Non-Musician","Musician",100
"Serious amateur musician","Music-loving nonmusician","Male",18,"H3",7,"P8",5,"Hindustani","Musician","Non-Musician","Musician",100
"Semi-professional musician","Semi-professional musician","Male",41,"H5",7,"P8",1,"Hindustani","Musician","Musician","Musician",100
"Professional musician","Professional musician","Male",40,"H9",3,"P8",3,"Hindustani","Musician","Musician","Musician",42.8571428571429
"Serious amateur musician","Amateur musician","Male",21,"H7",6,"P8",2,"Hindustani","Musician","Non-Musician","Musician",85.7142857142857
"Serious amateur musician","Serious amateur musician","Female",26,"H11",6,"m2",5,"Hindustani","Musician","Musician","Musician",85.7142857142857
"Semi-professional musician","Music-loving nonmusician","Female",28,"H19",5,"m2",7,"Hindustani","Musician","Non-Musician","Musician",71.4285714285714
"Professional musician","Professional musician","Male",26,"H13",4,"m2",7,"Hindustani","Musician","Musician","Musician",57.1428571428571
"Semi-professional musician","Serious amateur musician","Female",26,"H17",7,"m2",3,"Hindustani","Musician","Musician","Musician",100
"Serious amateur musician","Music-loving nonmusician","Female",25,"H18",5,"m2",6,"Hindustani","Musician","Non-Musician","Musician",71.4285714285714
"Professional musician","Amateur musician","Male",34,"H15",7,"m2",6,"Hindustani","Musician","Non-Musician","Musician",100
"Professional musician","Professional musician","Male",30,"H10",7,"m2",6,"Hindustani","Musician","Musician","Musician",100
"Serious amateur musician","Serious amateur musician","Male",28,"H14",6,"m2",5,"Hindustani","Musician","Musician","Musician",85.7142857142857
"Semi-professional musician","Music-loving nonmusician","Female",22,"H12",6,"m2",3,"Hindustani","Musician","Non-Musician","Musician",85.7142857142857
"Semi-professional musician","Serious amateur musician","Male",26,"H16",4,"m2",6,"Hindustani","Musician","Musician","Musician",57.1428571428571
"Serious amateur musician","Serious amateur musician","Female",26,"H11",6,"M2",3,"Hindustani","Musician","Musician","Musician",85.7142857142857
"Semi-professional musician","Music-loving nonmusician","Female",28,"H19",5,"M2",5,"Hindustani","Musician","Non-Musician","Musician",71.4285714285714
"Professional musician","Professional musician","Male",26,"H13",4,"M2",5,"Hindustani","Musician","Musician","Musician",57.1428571428571
"Semi-professional musician","Serious amateur musician","Female",26,"H17",7,"M2",6,"Hindustani","Musician","Musician","Musician",100
"Serious amateur musician","Music-loving nonmusician","Female",25,"H18",5,"M2",5,"Hindustani","Musician","Non-Musician","Musician",71.4285714285714
"Professional musician","Amateur musician","Male",34,"H15",7,"M2",7,"Hindustani","Musician","Non-Musician","Musician",100
"Professional musician","Professional musician","Male",30,"H10",7,"M2",4,"Hindustani","Musician","Musician","Musician",100
"Serious amateur musician","Serious amateur musician","Male",28,"H14",6,"M2",4,"Hindustani","Musician","Musician","Musician",85.7142857142857
"Semi-professional musician","Music-loving nonmusician","Female",22,"H12",6,"M2",5,"Hindustani","Musician","Non-Musician","Musician",85.7142857142857
"Semi-professional musician","Serious amateur musician","Male",26,"H16",4,"M2",3,"Hindustani","Musician","Musician","Musician",57.1428571428571
"Serious amateur musician","Serious amateur musician","Female",26,"H11",6,"m3",4,"Hindustani","Musician","Musician","Musician",85.7142857142857
"Semi-professional musician","Music-loving nonmusician","Female",28,"H19",5,"m3",5,"Hindustani","Musician","Non-Musician","Musician",71.4285714285714
"Professional musician","Professional musician","Male",26,"H13",4,"m3",6,"Hindustani","Musician","Musician","Musician",57.1428571428571
"Semi-professional musician","Serious amateur musician","Female",26,"H17",7,"m3",6,"Hindustani","Musician","Musician","Musician",100
"Serious amateur musician","Music-loving nonmusician","Female",25,"H18",5,"m3",3,"Hindustani","Musician","Non-Musician","Musician",71.4285714285714
"Professional musician","Amateur musician","Male",34,"H15",7,"m3",4,"Hindustani","Musician","Non-Musician","Musician",100
"Professional musician","Professional musician","Male",30,"H10",7,"m3",3,"Hindustani","Musician","Musician","Musician",100
"Serious amateur musician","Serious amateur musician","Male",28,"H14",6,"m3",4,"Hindustani","Musician","Musician","Musician",85.7142857142857
"Semi-professional musician","Music-loving nonmusician","Female",22,"H12",6,"m3",5,"Hindustani","Musician","Non-Musician","Musician",85.7142857142857
"Semi-professional musician","Serious amateur musician","Male",26,"H16",4,"m3",4,"Hindustani","Musician","Musician","Musician",57.1428571428571
"Serious amateur musician","Serious amateur musician","Female",26,"H11",6,"M3",4,"Hindustani","Musician","Musician","Musician",85.7142857142857
"Semi-professional musician","Music-loving nonmusician","Female",28,"H19",5,"M3",3,"Hindustani","Musician","Non-Musician","Musician",71.4285714285714
"Professional musician","Professional musician","Male",26,"H13",4,"M3",3,"Hindustani","Musician","Musician","Musician",57.1428571428571
"Semi-professional musician","Serious amateur musician","Female",26,"H17",7,"M3",6,"Hindustani","Musician","Musician","Musician",100
"Serious amateur musician","Music-loving nonmusician","Female",25,"H18",5,"M3",5,"Hindustani","Musician","Non-Musician","Musician",71.4285714285714
"Professional musician","Amateur musician","Male",34,"H15",7,"M3",4,"Hindustani","Musician","Non-Musician","Musician",100
"Professional musician","Professional musician","Male",30,"H10",7,"M3",2,"Hindustani","Musician","Musician","Musician",100
"Serious amateur musician","Serious amateur musician","Male",28,"H14",6,"M3",2,"Hindustani","Musician","Musician","Musician",85.7142857142857
"Semi-professional musician","Music-loving nonmusician","Female",22,"H12",6,"M3",4,"Hindustani","Musician","Non-Musician","Musician",85.7142857142857
"Semi-professional musician","Serious amateur musician","Male",26,"H16",4,"M3",3,"Hindustani","Musician","Musician","Musician",57.1428571428571
"Serious amateur musician","Serious amateur musician","Female",26,"H11",6,"P4",3,"Hindustani","Musician","Musician","Musician",85.7142857142857
"Semi-professional musician","Music-loving nonmusician","Female",28,"H19",5,"P4",1,"Hindustani","Musician","Non-Musician","Musician",71.4285714285714
"Professional musician","Professional musician","Male",26,"H13",4,"P4",4,"Hindustani","Musician","Musician","Musician",57.1428571428571
"Semi-professional musician","Serious amateur musician","Female",26,"H17",7,"P4",6,"Hindustani","Musician","Musician","Musician",100
"Serious amateur musician","Music-loving nonmusician","Female",25,"H18",5,"P4",2,"Hindustani","Musician","Non-Musician","Musician",71.4285714285714
"Professional musician","Amateur musician","Male",34,"H15",7,"P4",3,"Hindustani","Musician","Non-Musician","Musician",100
"Professional musician","Professional musician","Male",30,"H10",7,"P4",3,"Hindustani","Musician","Musician","Musician",100
"Serious amateur musician","Serious amateur musician","Male",28,"H14",6,"P4",2,"Hindustani","Musician","Musician","Musician",85.7142857142857
"Semi-professional musician","Music-loving nonmusician","Female",22,"H12",6,"P4",3,"Hindustani","Musician","Non-Musician","Musician",85.7142857142857
"Semi-professional musician","Serious amateur musician","Male",26,"H16",4,"P4",4,"Hindustani","Musician","Musician","Musician",57.1428571428571
"Serious amateur musician","Serious amateur musician","Female",26,"H11",6,"A4",6,"Hindustani","Musician","Musician","Musician",85.7142857142857
"Semi-professional musician","Music-loving nonmusician","Female",28,"H19",5,"A4",1,"Hindustani","Musician","Non-Musician","Musician",71.4285714285714
"Professional musician","Professional musician","Male",26,"H13",4,"A4",7,"Hindustani","Musician","Musician","Musician",57.1428571428571
"Semi-professional musician","Serious amateur musician","Female",26,"H17",7,"A4",7,"Hindustani","Musician","Musician","Musician",100
"Serious amateur musician","Music-loving nonmusician","Female",25,"H18",5,"A4",5,"Hindustani","Musician","Non-Musician","Musician",71.4285714285714
"Professional musician","Amateur musician","Male",34,"H15",7,"A4",7,"Hindustani","Musician","Non-Musician","Musician",100
"Professional musician","Professional musician","Male",30,"H10",7,"A4",5,"Hindustani","Musician","Musician","Musician",100
"Serious amateur musician","Serious amateur musician","Male",28,"H14",6,"A4",5,"Hindustani","Musician","Musician","Musician",85.7142857142857
"Semi-professional musician","Music-loving nonmusician","Female",22,"H12",6,"A4",6,"Hindustani","Musician","Non-Musician","Musician",85.7142857142857
"Semi-professional musician","Serious amateur musician","Male",26,"H16",4,"A4",5,"Hindustani","Musician","Musician","Musician",57.1428571428571
"Serious amateur musician","Serious amateur musician","Female",26,"H11",6,"P5",3,"Hindustani","Musician","Musician","Musician",85.7142857142857
"Semi-professional musician","Music-loving nonmusician","Female",28,"H19",5,"P5",2,"Hindustani","Musician","Non-Musician","Musician",71.4285714285714
"Professional musician","Professional musician","Male",26,"H13",4,"P5",2,"Hindustani","Musician","Musician","Musician",57.1428571428571
"Semi-professional musician","Serious amateur musician","Female",26,"H17",7,"P5",5,"Hindustani","Musician","Musician","Musician",100
"Serious amateur musician","Music-loving nonmusician","Female",25,"H18",5,"P5",3,"Hindustani","Musician","Non-Musician","Musician",71.4285714285714
"Professional musician","Amateur musician","Male",34,"H15",7,"P5",6,"Hindustani","Musician","Non-Musician","Musician",100
"Professional musician","Professional musician","Male",30,"H10",7,"P5",3,"Hindustani","Musician","Musician","Musician",100
"Serious amateur musician","Serious amateur musician","Male",28,"H14",6,"P5",2,"Hindustani","Musician","Musician","Musician",85.7142857142857
"Semi-professional musician","Music-loving nonmusician","Female",22,"H12",6,"P5",5,"Hindustani","Musician","Non-Musician","Musician",85.7142857142857
"Semi-professional musician","Serious amateur musician","Male",26,"H16",4,"P5",3,"Hindustani","Musician","Musician","Musician",57.1428571428571
"Serious amateur musician","Serious amateur musician","Female",26,"H11",6,"m6",5,"Hindustani","Musician","Musician","Musician",85.7142857142857
"Semi-professional musician","Music-loving nonmusician","Female",28,"H19",5,"m6",1,"Hindustani","Musician","Non-Musician","Musician",71.4285714285714
"Professional musician","Professional musician","Male",26,"H13",4,"m6",6,"Hindustani","Musician","Musician","Musician",57.1428571428571
"Semi-professional musician","Serious amateur musician","Female",26,"H17",7,"m6",5,"Hindustani","Musician","Musician","Musician",100
"Serious amateur musician","Music-loving nonmusician","Female",25,"H18",5,"m6",4,"Hindustani","Musician","Non-Musician","Musician",71.4285714285714
"Professional musician","Amateur musician","Male",34,"H15",7,"m6",6,"Hindustani","Musician","Non-Musician","Musician",100
"Professional musician","Professional musician","Male",30,"H10",7,"m6",1,"Hindustani","Musician","Musician","Musician",100
"Serious amateur musician","Serious amateur musician","Male",28,"H14",6,"m6",2,"Hindustani","Musician","Musician","Musician",85.7142857142857
"Semi-professional musician","Music-loving nonmusician","Female",22,"H12",6,"m6",6,"Hindustani","Musician","Non-Musician","Musician",85.7142857142857
"Semi-professional musician","Serious amateur musician","Male",26,"H16",4,"m6",4,"Hindustani","Musician","Musician","Musician",57.1428571428571
"Serious amateur musician","Serious amateur musician","Female",26,"H11",6,"M6",5,"Hindustani","Musician","Musician","Musician",85.7142857142857
"Semi-professional musician","Music-loving nonmusician","Female",28,"H19",5,"M6",6,"Hindustani","Musician","Non-Musician","Musician",71.4285714285714
"Professional musician","Professional musician","Male",26,"H13",4,"M6",4,"Hindustani","Musician","Musician","Musician",57.1428571428571
"Semi-professional musician","Serious amateur musician","Female",26,"H17",7,"M6",4,"Hindustani","Musician","Musician","Musician",100
"Serious amateur musician","Music-loving nonmusician","Female",25,"H18",5,"M6",3,"Hindustani","Musician","Non-Musician","Musician",71.4285714285714
"Professional musician","Amateur musician","Male",34,"H15",7,"M6",2,"Hindustani","Musician","Non-Musician","Musician",100
"Professional musician","Professional musician","Male",30,"H10",7,"M6",2,"Hindustani","Musician","Musician","Musician",100
"Serious amateur musician","Serious amateur musician","Male",28,"H14",6,"M6",2,"Hindustani","Musician","Musician","Musician",85.7142857142857
"Semi-professional musician","Music-loving nonmusician","Female",22,"H12",6,"M6",5,"Hindustani","Musician","Non-Musician","Musician",85.7142857142857
"Semi-professional musician","Serious amateur musician","Male",26,"H16",4,"M6",2,"Hindustani","Musician","Musician","Musician",57.1428571428571
"Serious amateur musician","Serious amateur musician","Female",26,"H11",6,"m7",5,"Hindustani","Musician","Musician","Musician",85.7142857142857
"Semi-professional musician","Music-loving nonmusician","Female",28,"H19",5,"m7",5,"Hindustani","Musician","Non-Musician","Musician",71.4285714285714
"Professional musician","Professional musician","Male",26,"H13",4,"m7",5,"Hindustani","Musician","Musician","Musician",57.1428571428571
"Semi-professional musician","Serious amateur musician","Female",26,"H17",7,"m7",6,"Hindustani","Musician","Musician","Musician",100
"Serious amateur musician","Music-loving nonmusician","Female",25,"H18",5,"m7",6,"Hindustani","Musician","Non-Musician","Musician",71.4285714285714
"Professional musician","Amateur musician","Male",34,"H15",7,"m7",4,"Hindustani","Musician","Non-Musician","Musician",100
"Professional musician","Professional musician","Male",30,"H10",7,"m7",5,"Hindustani","Musician","Musician","Musician",100
"Serious amateur musician","Serious amateur musician","Male",28,"H14",6,"m7",4,"Hindustani","Musician","Musician","Musician",85.7142857142857
"Semi-professional musician","Music-loving nonmusician","Female",22,"H12",6,"m7",6,"Hindustani","Musician","Non-Musician","Musician",85.7142857142857
"Semi-professional musician","Serious amateur musician","Male",26,"H16",4,"m7",4,"Hindustani","Musician","Musician","Musician",57.1428571428571
"Serious amateur musician","Serious amateur musician","Female",26,"H11",6,"M7",5,"Hindustani","Musician","Musician","Musician",85.7142857142857
"Semi-professional musician","Music-loving nonmusician","Female",28,"H19",5,"M7",6,"Hindustani","Musician","Non-Musician","Musician",71.4285714285714
"Professional musician","Professional musician","Male",26,"H13",4,"M7",2,"Hindustani","Musician","Musician","Musician",57.1428571428571
"Semi-professional musician","Serious amateur musician","Female",26,"H17",7,"M7",6,"Hindustani","Musician","Musician","Musician",100
"Serious amateur musician","Music-loving nonmusician","Female",25,"H18",5,"M7",5,"Hindustani","Musician","Non-Musician","Musician",71.4285714285714
"Professional musician","Amateur musician","Male",34,"H15",7,"M7",5,"Hindustani","Musician","Non-Musician","Musician",100
"Professional musician","Professional musician","Male",30,"H10",7,"M7",6,"Hindustani","Musician","Musician","Musician",100
"Serious amateur musician","Serious amateur musician","Male",28,"H14",6,"M7",5,"Hindustani","Musician","Musician","Musician",85.7142857142857
"Semi-professional musician","Music-loving nonmusician","Female",22,"H12",6,"M7",5,"Hindustani","Musician","Non-Musician","Musician",85.7142857142857
"Semi-professional musician","Serious amateur musician","Male",26,"H16",4,"M7",5,"Hindustani","Musician","Musician","Musician",57.1428571428571
"Serious amateur musician","Serious amateur musician","Female",26,"H11",6,"P8",2,"Hindustani","Musician","Musician","Musician",85.7142857142857
"Semi-professional musician","Music-loving nonmusician","Female",28,"H19",5,"P8",2,"Hindustani","Musician","Non-Musician","Musician",71.4285714285714
"Professional musician","Professional musician","Male",26,"H13",4,"P8",3,"Hindustani","Musician","Musician","Musician",57.1428571428571
"Semi-professional musician","Serious amateur musician","Female",26,"H17",7,"P8",2,"Hindustani","Musician","Musician","Musician",100
"Serious amateur musician","Music-loving nonmusician","Female",25,"H18",5,"P8",5,"Hindustani","Musician","Non-Musician","Musician",71.4285714285714
"Professional musician","Amateur musician","Male",34,"H15",7,"P8",1,"Hindustani","Musician","Non-Musician","Musician",100
"Professional musician","Professional musician","Male",30,"H10",7,"P8",4,"Hindustani","Musician","Musician","Musician",100
"Serious amateur musician","Serious amateur musician","Male",28,"H14",6,"P8",1,"Hindustani","Musician","Musician","Musician",85.7142857142857
"Semi-professional musician","Music-loving nonmusician","Female",22,"H12",6,"P8",2,"Hindustani","Musician","Non-Musician","Musician",85.7142857142857
"Semi-professional musician","Serious amateur musician","Male",26,"H16",4,"P8",4,"Hindustani","Musician","Musician","Musician",57.1428571428571
"Amateur musician","Music-loving nonmusician","Female",23,"C3",9,"m2",1,"Carnatic","Non-Musician","Non-Musician","Non-Musician",75
"Amateur musician","Semi-professional musician","Prefer not to answer",24,"C6",11,"m2",2,"Carnatic","Non-Musician","Musician","Non-Musician",91.6666666666667
"Amateur musician","Nonmusician","Male",22,"C7",12,"m2",4,"Carnatic","Non-Musician","Non-Musician","Non-Musician",100
"Music-loving nonmusician","Nonmusician","Male",42,"C10",12,"m2",2,"Carnatic","Non-Musician","Non-Musician","Non-Musician",100
"Music-loving nonmusician","Nonmusician","Female",39,"C11",8,"m2",3,"Carnatic","Non-Musician","Non-Musician","Non-Musician",66.6666666666667
"Amateur musician","Music-loving nonmusician","Female",41,"C16",8,"m2",4,"Carnatic","Non-Musician","Non-Musician","Non-Musician",66.6666666666667
"Amateur musician","Music-loving nonmusician","Female",23,"C3",9,"M2",4,"Carnatic","Non-Musician","Non-Musician","Non-Musician",75
"Amateur musician","Semi-professional musician","Prefer not to answer",24,"C6",11,"M2",5,"Carnatic","Non-Musician","Musician","Non-Musician",91.6666666666667
"Amateur musician","Nonmusician","Male",22,"C7",12,"M2",5,"Carnatic","Non-Musician","Non-Musician","Non-Musician",100
"Music-loving nonmusician","Nonmusician","Male",42,"C10",12,"M2",2,"Carnatic","Non-Musician","Non-Musician","Non-Musician",100
"Music-loving nonmusician","Nonmusician","Female",39,"C11",8,"M2",3,"Carnatic","Non-Musician","Non-Musician","Non-Musician",66.6666666666667
"Amateur musician","Music-loving nonmusician","Female",41,"C16",8,"M2",4,"Carnatic","Non-Musician","Non-Musician","Non-Musician",66.6666666666667
"Amateur musician","Music-loving nonmusician","Female",23,"C3",9,"m3",1,"Carnatic","Non-Musician","Non-Musician","Non-Musician",75
"Amateur musician","Semi-professional musician","Prefer not to answer",24,"C6",11,"m3",3,"Carnatic","Non-Musician","Musician","Non-Musician",91.6666666666667
"Amateur musician","Nonmusician","Male",22,"C7",12,"m3",4,"Carnatic","Non-Musician","Non-Musician","Non-Musician",100
"Music-loving nonmusician","Nonmusician","Male",42,"C10",12,"m3",4,"Carnatic","Non-Musician","Non-Musician","Non-Musician",100
"Music-loving nonmusician","Nonmusician","Female",39,"C11",8,"m3",4,"Carnatic","Non-Musician","Non-Musician","Non-Musician",66.6666666666667
"Amateur musician","Music-loving nonmusician","Female",41,"C16",8,"m3",6,"Carnatic","Non-Musician","Non-Musician","Non-Musician",66.6666666666667
"Amateur musician","Music-loving nonmusician","Female",23,"C3",9,"M3",1,"Carnatic","Non-Musician","Non-Musician","Non-Musician",75
"Amateur musician","Semi-professional musician","Prefer not to answer",24,"C6",11,"M3",6,"Carnatic","Non-Musician","Musician","Non-Musician",91.6666666666667
"Amateur musician","Nonmusician","Male",22,"C7",12,"M3",3,"Carnatic","Non-Musician","Non-Musician","Non-Musician",100
"Music-loving nonmusician","Nonmusician","Male",42,"C10",12,"M3",2,"Carnatic","Non-Musician","Non-Musician","Non-Musician",100
"Music-loving nonmusician","Nonmusician","Female",39,"C11",8,"M3",4,"Carnatic","Non-Musician","Non-Musician","Non-Musician",66.6666666666667
"Amateur musician","Music-loving nonmusician","Female",41,"C16",8,"M3",4,"Carnatic","Non-Musician","Non-Musician","Non-Musician",66.6666666666667
"Amateur musician","Music-loving nonmusician","Female",23,"C3",9,"A4",6,"Carnatic","Non-Musician","Non-Musician","Non-Musician",75
"Amateur musician","Semi-professional musician","Prefer not to answer",24,"C6",11,"A4",3,"Carnatic","Non-Musician","Musician","Non-Musician",91.6666666666667
"Amateur musician","Nonmusician","Male",22,"C7",12,"A4",6,"Carnatic","Non-Musician","Non-Musician","Non-Musician",100
"Music-loving nonmusician","Nonmusician","Male",42,"C10",12,"A4",3,"Carnatic","Non-Musician","Non-Musician","Non-Musician",100
"Music-loving nonmusician","Nonmusician","Female",39,"C11",8,"A4",4,"Carnatic","Non-Musician","Non-Musician","Non-Musician",66.6666666666667
"Amateur musician","Music-loving nonmusician","Female",41,"C16",8,"A4",7,"Carnatic","Non-Musician","Non-Musician","Non-Musician",66.6666666666667
"Amateur musician","Music-loving nonmusician","Female",23,"C3",9,"P4",2,"Carnatic","Non-Musician","Non-Musician","Non-Musician",75
"Amateur musician","Semi-professional musician","Prefer not to answer",24,"C6",11,"P4",3,"Carnatic","Non-Musician","Musician","Non-Musician",91.6666666666667
"Amateur musician","Nonmusician","Male",22,"C7",12,"P4",2,"Carnatic","Non-Musician","Non-Musician","Non-Musician",100
"Music-loving nonmusician","Nonmusician","Male",42,"C10",12,"P4",3,"Carnatic","Non-Musician","Non-Musician","Non-Musician",100
"Music-loving nonmusician","Nonmusician","Female",39,"C11",8,"P4",5,"Carnatic","Non-Musician","Non-Musician","Non-Musician",66.6666666666667
"Amateur musician","Music-loving nonmusician","Female",41,"C16",8,"P4",5,"Carnatic","Non-Musician","Non-Musician","Non-Musician",66.6666666666667
"Amateur musician","Music-loving nonmusician","Female",23,"C3",9,"P5",5,"Carnatic","Non-Musician","Non-Musician","Non-Musician",75
"Amateur musician","Semi-professional musician","Prefer not to answer",24,"C6",11,"P5",3,"Carnatic","Non-Musician","Musician","Non-Musician",91.6666666666667
"Amateur musician","Nonmusician","Male",22,"C7",12,"P5",3,"Carnatic","Non-Musician","Non-Musician","Non-Musician",100
"Music-loving nonmusician","Nonmusician","Male",42,"C10",12,"P5",4,"Carnatic","Non-Musician","Non-Musician","Non-Musician",100
"Music-loving nonmusician","Nonmusician","Female",39,"C11",8,"P5",6,"Carnatic","Non-Musician","Non-Musician","Non-Musician",66.6666666666667
"Amateur musician","Music-loving nonmusician","Female",41,"C16",8,"P5",4,"Carnatic","Non-Musician","Non-Musician","Non-Musician",66.6666666666667
"Amateur musician","Music-loving nonmusician","Female",23,"C3",9,"m6",2,"Carnatic","Non-Musician","Non-Musician","Non-Musician",75
"Amateur musician","Semi-professional musician","Prefer not to answer",24,"C6",11,"m6",4,"Carnatic","Non-Musician","Musician","Non-Musician",91.6666666666667
"Amateur musician","Nonmusician","Male",22,"C7",12,"m6",2,"Carnatic","Non-Musician","Non-Musician","Non-Musician",100
"Music-loving nonmusician","Nonmusician","Male",42,"C10",12,"m6",4,"Carnatic","Non-Musician","Non-Musician","Non-Musician",100
"Music-loving nonmusician","Nonmusician","Female",39,"C11",8,"m6",4,"Carnatic","Non-Musician","Non-Musician","Non-Musician",66.6666666666667
"Amateur musician","Music-loving nonmusician","Female",41,"C16",8,"m6",7,"Carnatic","Non-Musician","Non-Musician","Non-Musician",66.6666666666667
"Amateur musician","Music-loving nonmusician","Female",23,"C3",9,"M6",3,"Carnatic","Non-Musician","Non-Musician","Non-Musician",75
"Amateur musician","Semi-professional musician","Prefer not to answer",24,"C6",11,"M6",4,"Carnatic","Non-Musician","Musician","Non-Musician",91.6666666666667
"Amateur musician","Nonmusician","Male",22,"C7",12,"M6",4,"Carnatic","Non-Musician","Non-Musician","Non-Musician",100
"Music-loving nonmusician","Nonmusician","Male",42,"C10",12,"M6",5,"Carnatic","Non-Musician","Non-Musician","Non-Musician",100
"Music-loving nonmusician","Nonmusician","Female",39,"C11",8,"M6",5,"Carnatic","Non-Musician","Non-Musician","Non-Musician",66.6666666666667
"Amateur musician","Music-loving nonmusician","Female",41,"C16",8,"M6",6,"Carnatic","Non-Musician","Non-Musician","Non-Musician",66.6666666666667
"Amateur musician","Music-loving nonmusician","Female",23,"C3",9,"m7",3,"Carnatic","Non-Musician","Non-Musician","Non-Musician",75
"Amateur musician","Semi-professional musician","Prefer not to answer",24,"C6",11,"m7",4,"Carnatic","Non-Musician","Musician","Non-Musician",91.6666666666667
"Amateur musician","Nonmusician","Male",22,"C7",12,"m7",5,"Carnatic","Non-Musician","Non-Musician","Non-Musician",100
"Music-loving nonmusician","Nonmusician","Male",42,"C10",12,"m7",3,"Carnatic","Non-Musician","Non-Musician","Non-Musician",100
"Music-loving nonmusician","Nonmusician","Female",39,"C11",8,"m7",3,"Carnatic","Non-Musician","Non-Musician","Non-Musician",66.6666666666667
"Amateur musician","Music-loving nonmusician","Female",41,"C16",8,"m7",7,"Carnatic","Non-Musician","Non-Musician","Non-Musician",66.6666666666667
"Amateur musician","Music-loving nonmusician","Female",23,"C3",9,"M7",2,"Carnatic","Non-Musician","Non-Musician","Non-Musician",75
"Amateur musician","Semi-professional musician","Prefer not to answer",24,"C6",11,"M7",4,"Carnatic","Non-Musician","Musician","Non-Musician",91.6666666666667
"Amateur musician","Nonmusician","Male",22,"C7",12,"M7",5,"Carnatic","Non-Musician","Non-Musician","Non-Musician",100
"Music-loving nonmusician","Nonmusician","Male",42,"C10",12,"M7",6,"Carnatic","Non-Musician","Non-Musician","Non-Musician",100
"Music-loving nonmusician","Nonmusician","Female",39,"C11",8,"M7",5,"Carnatic","Non-Musician","Non-Musician","Non-Musician",66.6666666666667
"Amateur musician","Music-loving nonmusician","Female",41,"C16",8,"M7",5,"Carnatic","Non-Musician","Non-Musician","Non-Musician",66.6666666666667
"Amateur musician","Music-loving nonmusician","Female",23,"C3",9,"P8",2,"Carnatic","Non-Musician","Non-Musician","Non-Musician",75
"Amateur musician","Semi-professional musician","Prefer not to answer",24,"C6",11,"P8",2,"Carnatic","Non-Musician","Musician","Non-Musician",91.6666666666667
"Amateur musician","Nonmusician","Male",22,"C7",12,"P8",2,"Carnatic","Non-Musician","Non-Musician","Non-Musician",100
"Music-loving nonmusician","Nonmusician","Male",42,"C10",12,"P8",2,"Carnatic","Non-Musician","Non-Musician","Non-Musician",100
"Music-loving nonmusician","Nonmusician","Female",39,"C11",8,"P8",4,"Carnatic","Non-Musician","Non-Musician","Non-Musician",66.6666666666667
"Amateur musician","Music-loving nonmusician","Female",41,"C16",8,"P8",3,"Carnatic","Non-Musician","Non-Musician","Non-Musician",66.6666666666667
"Semi-professional musician","Semi-professional musician","Male",19,"C1",5,"m2",7,"Carnatic","Musician","Musician","Musician",41.6666666666667
"Serious amateur musician","Amateur musician","Female",27,"C2",11,"m2",5,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Semi-professional musician","Amateur musician","Female",17,"C4",12,"m2",3,"Carnatic","Musician","Non-Musician","Musician",100
"Semi-professional musician","Semi-professional musician","Female",22,"C5",11,"m2",7,"Carnatic","Musician","Musician","Musician",91.6666666666667
"Serious amateur musician","Music-loving nonmusician","Female",30,"C8",11,"m2",3,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Serious amateur musician","Music-loving nonmusician","Female",19,"C9",8,"m2",7,"Carnatic","Musician","Non-Musician","Musician",66.6666666666667
"Professional musician","Nonmusician","Male",18,"C12",11,"m2",3,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Semi-professional musician","Amateur musician","Male",24,"C13",9,"m2",5,"Carnatic","Musician","Non-Musician","Musician",75
"Semi-professional musician","Amateur musician","Female",53,"C14",NA,"m2",7,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Music-loving nonmusician","Female",27,"C15",10,"m2",3,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Professional musician","Professional musician","Female",41,"C17",11,"m2",7,"Carnatic","Musician","Musician","Musician",91.6666666666667
"Semi-professional musician","Music-loving nonmusician","Male",26,"C18",NA,"m2",6,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Amateur musician","Male",31,"C19",10,"m2",7,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Semi-professional musician","Amateur musician","Female",22,"C20",10,"m2",5,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Serious amateur musician","Amateur musician","Female",20,"C21",NA,"m2",7,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Semi-professional musician","Female",26,"C22",12,"m2",7,"Carnatic","Musician","Musician","Musician",100
"Serious amateur musician","Serious amateur musician","Male",28,"C23",10,"m2",6,"Carnatic","Musician","Musician","Musician",83.3333333333333
"Semi-professional musician","Music-loving nonmusician","Male",38,"C24",12,"m2",1,"Carnatic","Musician","Non-Musician","Musician",100
"Semi-professional musician","Nonmusician","Male",31,"C25",11,"m2",1,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
